ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,isi_yalitim,isicam,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yangin_merdiveni,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119.0,0,0,0,1,0,1,1,2,0,1,10,0,180,3,1,1,0,0,1,0,0,0,5542.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,61,0,0,0,0,1,0,0,1,3,3608.0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,120,3,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,545000
1,119.0,1,1,0,1,0,0,1,3,1,1,1,0,320,0,1,1,0,1,1,1,0,0,5542.0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,80,1,1,1,1,1,0,1,1,4,3608.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,305,5,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,12000000
0,50.0,0,0,0,1,0,0,1,2,0,0,10,0,170,1,0,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,79,1,1,0,1,1,1,1,1,4,2500.0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,160,4,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,7,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,589000
0,119.0,0,1,0,1,0,0,1,2,0,0,0,0,0,8,0,1,0,0,1,0,0,0,5542.0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,79,1,1,0,1,1,0,0,1,14,3608.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,190,4,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,769000
0,50.0,1,1,0,1,0,0,1,1,0,0,0,0,75,1,1,0,0,1,1,1,0,1,5542.0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,64,1,1,0,1,1,0,1,1,4,1500.0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,70,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,270000
0,110.0,0,1,0,1,0,0,1,1,0,0,8,0,94,7,1,0,0,0,1,0,0,0,5542.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,79,1,1,0,0,1,1,1,1,12,600.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,85,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,3,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,170000
0,100.0,0,1,0,1,0,0,1,2,0,0,0,0,170,8,1,1,0,0,1,0,0,0,5542.0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,68,1,1,0,1,1,0,1,1,8,2000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,145,3,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,460000
0,120.0,0,1,1,0,1,0,1,2,0,0,30,1,130,0,1,1,0,0,1,0,0,0,5542.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,80,1,1,0,0,1,0,1,0,4,3000.0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,110,3,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,890000
0,80.0,0,0,0,1,0,1,1,2,0,0,18,0,130,5,1,1,0,0,1,1,1,1,5542.0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,71,1,1,0,0,1,0,1,1,5,1400.0,0,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,120,3,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,4,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,295000
0,119.0,1,1,0,1,0,0,1,2,0,0,0,0,130,2,0,1,0,0,1,0,0,0,5542.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,57,1,1,0,0,1,1,0,1,3,3500.0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,125,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1300000
